lon,lat,gravity
-124.555,42.875,0
-124.545,42.875,0
-124.535,42.875,0
-124.555,42.865,0
-124.535,42.865,0
-124.555,42.855,0
-124.545,42.855,0
-124.565,42.845,0
-124.595,42.835,0
-124.585,42.835,0
-124.575,42.835,0
-124.565,42.835,0
-124.595,42.825,0
-124.585,42.825,0
-124.575,42.825,0
-124.565,42.825,0
-124.555,42.825,0
-124.545,42.815,0
-124.615,42.805,0
-124.595,42.805,0
-124.585,42.805,0
-124.565,42.805,0
-124.555,42.805,0
-124.605,42.795,0
-124.595,42.795,0
-124.585,42.795,0
-124.575,42.795,0
-124.565,42.795,0
-124.555,42.795,0
-124.615,42.785,0
-124.605,42.785,0
-124.595,42.785,0
-124.585,42.785,0
-124.575,42.785,0
-124.605,42.775,0
-124.595,42.775,0
-124.585,42.775,0
-124.525,42.765,0
-124.525,42.745,0
-124.515,42.745,0
-124.495,42.745,0
-124.485,42.745,0
-124.515,42.735,0
-124.505,42.735,0
-124.495,42.735,0
-124.485,42.735,0
-124.475,42.735,0
-124.485,42.725,0
-124.475,42.725,0
-124.475,42.715,0
-124.465,42.715,0
-124.475,42.705,0
-124.465,42.705,0
-124.475,42.695,0
-124.465,42.695,0
-124.455,42.695,0
-124.455,42.685,0
-124.455,42.675,0
-124.445,42.675,0
-124.435,42.675,0
-124.475,42.665,0
-124.445,42.665,0
-124.435,42.665,0
-124.425,42.665,0
-124.415,42.665,0
-124.425,42.655,0
-124.415,42.655,0
-124.415,42.645,0
-124.415,42.635,0
-124.405,42.635,0
-124.405,42.625,0
-124.405,42.615,0
-124.405,42.605,0
-124.405,42.595,0
-124.415,42.585,0
-124.405,42.585,0
-124.395,42.585,0
-124.395,42.575,0
-124.395,42.565,0
-124.455,42.515,0
-124.465,42.505,0
-124.455,42.505,0
-124.435,42.505,0
-124.425,42.505,0
-124.445,42.495,0
-124.435,42.495,0
-124.425,42.495,0
-124.445,42.485,0
-124.445,42.475,0
-124.435,42.475,0
-124.425,42.475,0
-124.505,42.465,0
-124.495,42.465,0
-124.425,42.465,0
-124.495,42.455,0
-124.485,42.455,0
-124.475,42.455,0
-124.465,42.455,0
-124.435,42.455,0
-124.495,42.445,0
-124.485,42.445,0
-124.475,42.445,0
-124.465,42.445,0
-124.445,42.445,0
-124.475,42.435,0
-124.465,42.435,0
-124.455,42.435,0
-124.445,42.435,0
-124.465,42.425,0
-124.485,42.415,0
-124.435,42.325,0
-124.425,42.325,0
-124.435,42.315,0
-124.425,42.315,0
-124.425,42.305,0
-124.415,42.305,0
-124.415,42.295,0
-124.415,42.255,0
-124.415,42.245,2.4719687857109376
-124.405,42.245,2.5071310794386266
-124.415,42.235,2.5744146063190647
-124.405,42.235,2.612580371647452
-124.395,42.235,2.6503290682730793
-124.385,42.235,2.68757456151144
-124.405,42.225,4.240487302601733
-124.395,42.225,4.297716581926209
-124.385,42.225,4.353930460847803
-124.385,42.215,4.548360766342003
-124.375,42.215,4.608493759401387
-124.385,42.205,4.755298886990903
-124.375,42.205,5.821757890375155
-124.385,42.195,7.226649886904642
-124.375,42.195,7.320725229171826
-124.375,42.185,9.292805065631672
-124.365,42.185,10.837534670105986
-124.375,42.175,11.204772083990353
-124.365,42.175,11.34921217149114
-124.365,42.165,11.89625209830652
-124.365,42.145,13.109281695850438
-124.355,42.145,13.297722836149878
-124.365,42.135,13.782552605907567
-124.365,42.115,15.283763666892028
-124.355,42.115,15.541452969758645
-124.355,42.105,16.408854079506416
-124.355,42.095,17.34594677484612
-124.345,42.095,17.66134182558193
-124.335,42.095,17.969672823777127
-124.345,42.085,18.713903204747428
-124.335,42.085,19.061007930622473
-124.325,42.085,19.399400204253364
-124.325,42.075,20.631598430806136
-124.315,42.075,21.003827319577923
-124.325,42.065,21.977946288109962
-124.315,42.065,22.4018147517605
-124.305,42.065,24.20037656336067
-124.305,42.055,25.836126211047667
-124.295,42.055,26.326464978325195
-124.305,42.045,27.63707151887232
-124.295,42.045,28.19983651536075
-124.285,42.045,28.742367747710624
-124.275,42.045,29.260815660217357
-124.265,42.035,32.073530329251795
-124.255,42.035,32.60856389918159
-124.255,42.025,35.304387159197155
-124.245,42.025,35.88700803008541
-124.235,42.015,39.671369223391864
-124.225,42.015,40.23598149867843
-124.235,42.005,43.83366629106287
-124.225,42.005,44.52044312682716
-124.215,41.955,77.5931874082522
-124.215,41.945,88.3728771626642
-124.225,41.935,98.16169007459746
