year,mhw_days,mhw_icum,period
1982,18,28.99844901960785,before
1983,177,373.89932745098025,before
1984,78,210.99823333333336,before
1985,0,0,before
1986,31,50.081549019607856,before
1987,34,54.11051960784315,before
1988,8,11.678505882352942,before
1989,13,18.356939215686282,before
1990,11,18.160482352941177,before
1991,0,0,before
1992,117,213.55741176470593,before
1993,44,82.2148470588235,before
1994,0,0,before
1995,21,27.195429411764707,before
1996,13,15.96848823529411,before
1997,152,317.44098627450995,before
1998,83,155.0868862745098,before
1999,0,0,before
2000,0,0,before
2001,8,11.189352941176466,before
2002,0,0,before
2003,7,7.580639215686274,before
2004,6,10.525654901960781,before
2005,29,36.63565098039215,before
2006,21,43.106117647058824,before
2007,0,0,before
2008,0,0,before
2009,0,0,before
2010,0,0,before
2011,0,0,before
2012,12,20.021272549019614,before
2013,0,0,before
2014,189,406.4846862745097,during
2015,277,662.504350980392,during
2016,72,107.5153215686275,during
2017,13,26.628301960784324,after
2018,122,209.22868431372547,after
2019,26,33.705299999999994,after
2020,83,146.46588235294118,after
2021,16,27.460276470588234,after
2022,35,73.68583333333333,after
2023,39,67.05295686274508,after
2024,26,33.14833529411766,after
2025,57,106.48831960784315,after
2026,82,157.2970098039216,after
