MPA,Lat,Lon,nearest_km,n_stations,wave_hs,nitrate,temperature,npp,depth_m,gravity,island,coverage
Abalone Cove SMCA,33.7392,-118.3857,0,977,1.859,0.644,16.967,2040.784,8.147,16009.1,FALSE,valid
Anacapa Island SMCA,34.00288,-119.4252,0.01,873,1.261,1.147,16.086,1786.245,11.89,475.5,TRUE,valid
Anacapa Island SMR 2003,34.008,-119.3983,0.37,925,1.213,1.139,16.094,1787.421,10.212,574,TRUE,valid
Anacapa Island SMR 1978,34.008,-119.3983,0.37,925,1.213,1.139,16.094,1787.421,10.212,574,TRUE,valid
Arrow Point to Lion Head Point SMCA,33.4649,-118.5221,0.05,176,0.964,0.495,17.277,1186.161,12.958,489.3,TRUE,valid
Begg Rock SMR,33.22,-119.5078,0,737,1.645,1.197,15.721,1315.005,9.448,19,TRUE,valid
Blue Cavern Onshore SMCA,33.4466,-118.4764,0.02,99,0.649,0.481,17.307,1101.293,12.019,518.9,TRUE,valid
Cabrillo SMR,32.6628,-117.2464,0.02,7123,2.625,0.423,17.477,2077.47,13.634,10635.3,FALSE,valid
Campus Point SMCA,34.4049,-119.8651,0.01,2078,1.311,1.705,15.503,2728.122,7.879,22018.7,FALSE,valid
Cat Harbor SMCA,33.42609,-118.5118,0.13,160,0.989,0.478,17.305,1091.136,12.747,282.5,TRUE,valid
Crystal Cove SMCA,33.5753,-117.8511,0.42,325,1.736,0.479,17.341,1620.798,9.413,13645.3,FALSE,valid
Dana Point SMCA,33.4687,-117.7251,0.02,1411,2.206,0.445,17.449,1620.798,12.346,11507.9,FALSE,valid
Farnsworth Onshore SMCA,33.3339,-118.473,0.2,272,1.842,0.453,17.33,989.561,11.401,77.4,TRUE,valid
Gull Island SMR,33.9562,-119.8234,0.13,2496,1.302,1.517,15.634,1751.32,12.761,1.2,TRUE,valid
Harris Point SMR,34.053,-120.3424,0.01,1077,2.31,2.902,14.523,2138.758,9.954,0,TRUE,valid
Judith Rk SMR,34.0254,-120.4363,0.02,6221,4.442,2.998,14.433,1819.226,10.79,0,TRUE,valid
Laguna Beach SMR,33.5356,-117.7858,0.1,568,1.696,0.461,17.397,1620.798,10.713,15595.1,FALSE,valid
Long Point SMR,33.24,-118.21,11.88,1,0.968,0.428,17.44,1000.488,6.175,259,TRUE,far
Matlahuayl SMR,32.85167,-117.2783,0.05,4365,2.888,0.387,17.673,1619.195,17.086,15576.9,FALSE,valid
Naples SMCA,34.4321,-119.9514,0.01,1895,1.569,1.824,15.398,2761.165,8.9,1246,FALSE,valid
Painted Cave SMCA,34.05658,-119.8212,0.06,116,1.499,1.699,15.505,2289.203,5.25,113.3,TRUE,valid
Point Conception SMR,34.447,-120.4308,0.01,3829,1.725,2.974,14.542,2338.081,10.259,150.2,FALSE,valid
Point Dume SMCA,34.0344,-118.872,0,1300,1.627,0.854,16.529,2044.058,9.106,3334.3,FALSE,valid
Point Dume SMR,34.0079,-118.7917,0.02,1597,1.239,0.801,16.637,2296.793,8.037,5764.8,FALSE,valid
Point Vicente SMCA,33.7403,-118.4087,0,1144,1.992,0.651,16.955,1984.595,8.665,17848.2,FALSE,valid
San Miguel Island SC,34.0301,-120.443,0.08,7693,4.905,3.005,14.427,1833.2,11.751,0,TRUE,valid
Santa Barbara Island SMR,33.4658,-119.0306,0.02,2166,2.111,0.665,16.787,1145.682,10.867,0,TRUE,valid
Scorpion SMR,34.05428,-119.5669,0.04,86,1.308,1.313,15.891,2039.378,8.643,351.7,TRUE,valid
Skunk Pt SMR,33.9588,-119.9733,0.07,884,1.416,1.865,15.314,1611.087,8.882,0.5,TRUE,valid
South La Jolla SMR,32.8121,-117.288,0.01,5287,2.752,0.387,17.67,1619.195,16.578,16000.7,FALSE,valid
South Point SMR,33.9022,-120.1391,0.01,2166,2.075,2.224,14.991,1841.571,11.863,0,TRUE,valid
Swamis SMCA,33.0212,-117.2936,0.03,1603,2.269,0.393,17.668,1775.681,12.614,13559.4,FALSE,valid
Lover's Cove SMCA,33.333461,-118.30025,0.76,11,0.747,0.428,17.44,1000.488,15.078,549.4,TRUE,valid
Carrington Pt SMR,34.027,-120.0473,0.52,1471,1.798,2.179,15.07,2306.189,7.67,25.4,TRUE,valid
