"Taxa","MPA","Source","Mean","SE","vi","Input_Order","Is_Outlier","Cooks_Distance","Cooks_Threshold","In_Final_Analysis","Response","Exclusion_Reason"
"M. franciscanus","Abalone Cove SMCA","PISCO",-1.61486929670893,0.491414507549368,0.241488218229988,1,TRUE,0.358715201257694,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.3587 > 0.0506)"
"M. pyrifera","Abalone Cove SMCA","PISCO",0.0928980342612576,0.439476004644354,0.193139158658164,2,FALSE,0.00377009386134008,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"P. interruptus","Abalone Cove SMCA","PISCO",-1.6739979745077,0.599413150201335,0.359296124634288,3,TRUE,1.47089658469438,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=1.4709 > 0.0506)"
"M. pyrifera","Abalone Cove SMCA","Landsat",3.03865184314377,0.77987706870741,0.608208242295662,4,FALSE,0.0336552791692134,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"S. purpuratus","Abalone Cove SMCA","PISCO",0.212894721304602,0.470983798878652,0.221825738806167,5,TRUE,0.471357654175573,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.4714 > 0.0506)"
"S. pulcher","Abalone Cove SMCA","PISCO",2.35333338832931,0.91394094814147,0.835288056689729,6,FALSE,0.0149251633035362,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"M. pyrifera","Anacapa Island SMR 2003","PISCO",1.53602595034663,0.405912387528616,0.164764866349181,7,TRUE,1.79772144916586,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=1.7977 > 0.0506)"
"S. purpuratus","Anacapa Island SMR 2003","KFM",-2.24542950659313,0.82482011713088,0.680328225623799,8,TRUE,0.0540249556237821,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.054 > 0.0506)"
"S. pulcher","Anacapa Island SMR 2003","PISCO",0.378255322810763,0.130203807086084,0.0169530313797102,9,FALSE,0.0146924342704241,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"M. franciscanus","Anacapa Island SMR 2003","KFM",-2.62183730621177,0.436002555711669,0.190098228587107,10,TRUE,0.284871652929811,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.2849 > 0.0506)"
"M. pyrifera","Anacapa Island SMR 2003","KFM",0.111254218272157,1.8341577656866,3.36413470942844,11,FALSE,8.28452640435189e-05,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"S. pulcher","Blue Cavern Onshore SMCA","PISCO",1.67150469576155,0.545237148392157,0.297283547986811,12,FALSE,0.017264999176703,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"M. pyrifera","Cabrillo SMR","Landsat",-0.121346058407738,1.82584852041793,3.33372281951236,13,FALSE,0.000173680438068563,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"S. pulcher","Campus Point SMCA","LTER",-2.23535873718328,1.63328582350108,2.66762258124961,14,FALSE,0.0195249392025408,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"M. pyrifera","Campus Point SMCA","LTER",1.77885118910995,0.527349383470427,0.278097372246639,15,TRUE,0.276183551906838,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.2762 > 0.0506)"
"S. pulcher","Campus Point SMCA","PISCO",0.088600222440882,0.276879057076399,0.0766620122475156,16,TRUE,0.184258927357269,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.1843 > 0.0506)"
"P. interruptus","Campus Point SMCA","PISCO",2.96831006680995,0.907209932700748,0.823029861990897,17,TRUE,0.5224792384497,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.5225 > 0.0506)"
"S. purpuratus","Campus Point SMCA","PISCO",-1.76743769202537,0.699238370773006,0.488934299161288,18,FALSE,0.023104568256611,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"M. franciscanus","Campus Point SMCA","PISCO",-0.258775227592432,0.380339430420156,0.144658082332329,19,TRUE,0.08898498802211,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.089 > 0.0506)"
"M. pyrifera","Campus Point SMCA","PISCO",1.61689033836503,0.634315487054725,0.402356137117473,20,TRUE,0.132417741964414,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.1324 > 0.0506)"
"M. pyrifera","Campus Point SMCA","Landsat",0.430780580638753,0.487715386033246,0.237866297773558,21,FALSE,0.000318943423144813,0.0506329113924051,TRUE,"Biomass","INCLUDED"
"P. interruptus","Campus Point SMCA","LTER",1.65621669519275,0.700682617586032,0.490956130587214,22,TRUE,0.114580269937599,0.0506329113924051,FALSE,"Biomass","Outlier (Cook's D=0.1146 > 0.0506)"
