"(Intercept)","MPA","model","time"
-0.412771248199951,"Abalone Cove SMCA","pooled",NA
-0.727258627669205,"Anacapa Island SMR 2003","pooled",NA
0.110092221491834,"Blue Cavern Onshore SMCA","pooled",NA
-0.401580985559106,"Campus Point SMCA","pooled",NA
-0.348015277918465,"Farnsworth Onshore SMCA","pooled",NA
0.265050929799065,"Gull Island SMR","pooled",NA
-0.165358740828591,"Harris Point SMR","pooled",NA
0.462754298140493,"Long Point SMR","pooled",NA
-0.975200419769948,"Matlahuayl SMR","pooled",NA
0.470050264551032,"Naples SMCA","pooled",NA
-0.345066375310323,"Point Vicente SMCA","pooled",NA
-0.59790076212226,"Santa Barbara Island SMR","pooled",NA
0.592591519213222,"Scorpion SMR","pooled",NA
0.328055580909176,"South Point SMR","pooled",NA
1.7445576232724,"Swamis SMCA","pooled",NA
-0.424649245617425,"Abalone Cove SMCA","bio",NA
-1.0562034796989,"Anacapa Island SMR 2003","bio",NA
0.00243239070170691,"Blue Cavern Onshore SMCA","bio",NA
-0.58997872904036,"Campus Point SMCA","bio",NA
-0.332976385848508,"Farnsworth Onshore SMCA","bio",NA
0.457022595348032,"Gull Island SMR","bio",NA
-0.21233674537067,"Harris Point SMR","bio",NA
0.387202814653552,"Long Point SMR","bio",NA
-0.844715467561256,"Matlahuayl SMR","bio",NA
0.591570924237674,"Naples SMCA","bio",NA
-0.150423775009308,"Point Vicente SMCA","bio",NA
-0.221767039193796,"Santa Barbara Island SMR","bio",NA
0.62022681000743,"Scorpion SMR","bio",NA
0.502605519194511,"South Point SMR","bio",NA
1.27198981319711,"Swamis SMCA","bio",NA
-0.232871879219307,"Abalone Cove SMCA","den",0.00126480809457011
-0.101520244071973,"Anacapa Island SMR 2003","den",-0.0501588777820454
0.0644930915388432,"Blue Cavern Onshore SMCA","den",0.00202732363447084
-0.0341210284270995,"Campus Point SMCA","den",-0.0262032715078967
-0.219932493922513,"Farnsworth Onshore SMCA","den",-0.00616604415094745
-0.0889706894286481,"Gull Island SMR","den",0.0199505760200206
0.431236724007426,"Harris Point SMR","den",0.00460973355616628
0.191062502864924,"Long Point SMR","den",0.00462623775699356
-1.0999700151623,"Matlahuayl SMR","den",-0.0368353494948532
0.487730559498592,"Naples SMCA","den",0.0165747796900564
-0.286487017826926,"Point Vicente SMCA","den",0.0139296220901925
-0.989141631056589,"Santa Barbara Island SMR","den",0.0107677983683728
0.522256612384396,"Scorpion SMR","den",-0.00216593858609387
0.246871375494295,"South Point SMR","den",0.0174777167017033
1.10936413332693,"Swamis SMCA","den",0.0303008856092855
