"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",0.261394660673265,0.170738694517061,0.137635119645649,"Mesocentrotus franciscanus",1,"Campus Point SMCA","LTER","pooled"
"pooled",0.274843435904679,-0.318693744598226,0.144716457050536,"Strongylocentrotus purpuratus",1,"Campus Point SMCA","LTER","pooled"
"pooled",-1.04561095545671,0.107341316863775,-0.550557492591526,"Mesocentrotus franciscanus",2,"Campus Point SMCA","LTER","pooled"
"pooled",0.871121291334279,-0.398569890009745,0.458681454509637,"Strongylocentrotus purpuratus",2,"Campus Point SMCA","LTER","pooled"
"pooled",-1.18907624351349,0.0439439392104897,-0.626097911190109,"Mesocentrotus franciscanus",3,"Campus Point SMCA","LTER","pooled"
"pooled",0.790615739423445,-0.478446035421264,0.416291945707708,"Strongylocentrotus purpuratus",3,"Campus Point SMCA","LTER","pooled"
"pooled",-0.616535328277201,-0.0194534384427961,-0.32463139627504,"Mesocentrotus franciscanus",4,"Campus Point SMCA","LTER","pooled"
"pooled",1.40214026389395,-0.558322180832783,0.738284946157525,"Strongylocentrotus purpuratus",4,"Campus Point SMCA","LTER","pooled"
"pooled",-0.553137950623915,-0.0828508160960819,-0.291250050091243,"Mesocentrotus franciscanus",5,"Campus Point SMCA","LTER","pooled"
"pooled",2.11701605626134,-0.638198326244302,1.11469667148061,"Strongylocentrotus purpuratus",5,"Campus Point SMCA","LTER","pooled"
"pooled",-1.09051443339956,-0.146248193749367,-0.574201034289174,"Mesocentrotus franciscanus",6,"Campus Point SMCA","LTER","pooled"
"pooled",1.16634211899875,-0.718074471655821,0.614127452652178,"Strongylocentrotus purpuratus",6,"Campus Point SMCA","LTER","pooled"
"pooled",-1.86979597027719,-0.209645571402653,-0.984525052727579,"Mesocentrotus franciscanus",7,"Campus Point SMCA","LTER","pooled"
"pooled",0.256462213724474,-0.79795061706734,0.135037981952806,"Strongylocentrotus purpuratus",7,"Campus Point SMCA","LTER","pooled"
"pooled",-1.8063985926239,-0.273042949055939,-0.951143706543782,"Mesocentrotus franciscanus",8,"Campus Point SMCA","LTER","pooled"
"pooled",0.339788575187984,-0.877826762478859,0.178912763863528,"Strongylocentrotus purpuratus",8,"Campus Point SMCA","LTER","pooled"
"pooled",-0.867532477616715,-0.336440326709225,-0.456791795386032,"Mesocentrotus franciscanus",9,"Campus Point SMCA","LTER","pooled"
"pooled",0.0762136827548952,-0.957702907890378,0.0401296618591507,"Strongylocentrotus purpuratus",9,"Campus Point SMCA","LTER","pooled"
"pooled",-1.04052387802766,-0.399837704362511,-0.547878935543765,"Mesocentrotus franciscanus",10,"Campus Point SMCA","LTER","pooled"
"pooled",0.20477420021726,-1.0375790533019,0.10782210116554,"Strongylocentrotus purpuratus",10,"Campus Point SMCA","LTER","pooled"
"pooled",-0.51759417099593,-0.463235082015796,-0.272534777372374,"Mesocentrotus franciscanus",11,"Campus Point SMCA","LTER","pooled"
"pooled",-0.799041065135604,-1.11745519871342,-0.420728228795739,"Strongylocentrotus purpuratus",11,"Campus Point SMCA","LTER","pooled"
"pooled",-1.24720181806474,0.107341316863775,-0.656703434605267,"Mesocentrotus franciscanus",2,"Campus Point SMCA","LTER","pooled"
"pooled",0.611923300871339,-0.398569890009745,0.322202972748026,"Strongylocentrotus purpuratus",2,"Campus Point SMCA","LTER","pooled"
"pooled",-1.04766686237564,0.0439439392104897,-0.551640012770167,"Mesocentrotus franciscanus",3,"Campus Point SMCA","LTER","pooled"
"pooled",-0.00251790263541729,-0.478446035421264,-0.00132578006600882,"Strongylocentrotus purpuratus",3,"Campus Point SMCA","LTER","pooled"
"pooled",-2.20431132204682,-0.0194534384427961,-1.16066124596708,"Mesocentrotus franciscanus",4,"Campus Point SMCA","LTER","pooled"
"pooled",1.45077894505886,-0.558322180832783,0.763895227118493,"Strongylocentrotus purpuratus",4,"Campus Point SMCA","LTER","pooled"
"pooled",0.00581662501109798,0.170738694517061,0.00306269407827361,"Mesocentrotus franciscanus",1,"Campus Point SMCA","LTER","pooled"
