"MPA","Taxa","Source","Response","Effect_Size","SE","CI_Lower","CI_Upper","Model_Type","Significant","Direction","Qualitative"
"Abalone Cove SMCA","P. interruptus","PISCO","Bio",-1.6691,0.601,-2.9919,-0.3463,"Mean",TRUE,"Decrease inside MPA","Significant decrease"
"Campus Point SMCA","P. interruptus","LTER","Bio",1.6562,0.7007,0.095,3.2174,"Linear",TRUE,"Increase inside MPA","Significant increase"
"Matlahuayl SMR","P. interruptus","PISCO","Bio",0.2319,0.6454,-1.3473,1.8112,"Mean",FALSE,"Increase inside MPA","Not significant"
"Naples SMCA","P. interruptus","LTER","Bio",0.8481,0.3136,0.1578,1.5383,"Mean",TRUE,"Increase inside MPA","Significant increase"
"Point Vicente SMCA","P. interruptus","PISCO","Bio",0.4014,0.4737,-0.6413,1.4441,"Mean",FALSE,"Increase inside MPA","Not significant"
"Abalone Cove SMCA","P. interruptus","PISCO","Den",-0.8885,0.4568,-1.8838,0.1068,"Mean",FALSE,"Decrease inside MPA","Not significant"
"Anacapa Island SMR 2003","P. interruptus","PISCO","Den",2.0849,0.2378,1.578,2.5918,"Mean",TRUE,"Increase inside MPA","Significant increase"
"Anacapa Island SMR 2003","P. interruptus","KFM","Den",3.3458,0.3004,2.7089,3.9827,"Mean",TRUE,"Increase inside MPA","Significant increase"
"Campus Point SMCA","P. interruptus","LTER","Den",-0.0553,0.2314,-0.5645,0.454,"Mean",FALSE,"Decrease inside MPA","Not significant"
"Campus Point SMCA","P. interruptus","PISCO","Den",2.3747,0.7748,0.6865,4.0629,"Linear",TRUE,"Increase inside MPA","Significant increase"
"Gull Island SMR","P. interruptus","KFM","Den",0.1814,0.4858,-0.808,1.1709,"Sigmoid",FALSE,"Increase inside MPA","Not significant"
"Gull Island SMR","P. interruptus","PISCO","Den",2.1264,0.3684,1.3412,2.9115,"Mean",TRUE,"Increase inside MPA","Significant increase"
"Harris Point SMR","P. interruptus","PISCO","Den",0.6936,0.2641,0.1307,1.2565,"Linear",TRUE,"Increase inside MPA","Significant increase"
