"taxon","contrast","dlnRR","p_AR1","p_naive"
"Panulirus interruptus","during-before",0.499,0.0399,1.29e-05
"Panulirus interruptus","after-before",0.774,0.00306,1.53e-11
"Semicossyphus pulcher","during-before",-0.043,0.825,0.825
"Semicossyphus pulcher","after-before",-0.027,0.891,0.805
"Strongylocentrotus purpuratus","during-before",-0.633,0.0418,3.62e-05
"Strongylocentrotus purpuratus","after-before",-0.719,0.0615,5.32e-12
"Mesocentrotus franciscanus","during-before",-0.258,0.265,0.0216
"Mesocentrotus franciscanus","after-before",-0.51,0.0707,3.87e-08
"Macrocystis pyrifera","during-before",1.615,0.000293,7.82e-07
"Macrocystis pyrifera","after-before",2.037,1.18e-05,3.55e-14
