"Taxon","scenario","n","n_mpa","after_before_dlnRR","p"
"Panulirus interruptus","all_MPAs",415,11,0.85,0.0045
"Panulirus interruptus","balanced_3periods",401,10,1.015,0.000588
"Panulirus interruptus","SMR_only",287,7,0.419,0.202
"Panulirus interruptus","drop_sheephead_only",375,10,0.843,0.00464
"Strongylocentrotus purpuratus","all_MPAs",703,11,-0.491,0.189
"Strongylocentrotus purpuratus","balanced_3periods",691,10,-0.398,0.308
"Strongylocentrotus purpuratus","SMR_only",510,7,-0.953,0.0211
"Strongylocentrotus purpuratus","drop_sheephead_only",645,10,-0.369,0.368
"Macrocystis pyrifera","all_MPAs",742,11,2.068,4.63e-06
"Macrocystis pyrifera","balanced_3periods",728,10,2.057,1.09e-05
"Macrocystis pyrifera","SMR_only",538,7,2.561,1.54e-05
"Macrocystis pyrifera","drop_sheephead_only",668,10,1.927,5.85e-05
