"era","taxon","n_mpa","CV_inside","CV_outside","pct_lower_inside","paired_p","stabilizing"
"full series (>=2002)","Panulirus interruptus",10,1.151,1.015,40,0.695,"not"
"full series (>=2002)","Semicossyphus pulcher",15,0.628,0.707,67,0.107,"more stable inside"
"full series (>=2002)","Strongylocentrotus purpuratus",11,1.413,0.846,18,0.0137,"not"
"full series (>=2002)","Mesocentrotus franciscanus",11,0.684,0.703,45,0.52,"more stable inside"
"full series (>=2002)","Macrocystis pyrifera",11,0.646,0.819,55,0.365,"more stable inside"
"disturbance era (>=2013)","Panulirus interruptus",10,0.866,0.837,40,0.77,"not"
"disturbance era (>=2013)","Semicossyphus pulcher",14,0.46,0.595,79,0.0245,"more stable inside"
"disturbance era (>=2013)","Strongylocentrotus purpuratus",11,0.923,0.748,27,0.147,"not"
"disturbance era (>=2013)","Mesocentrotus franciscanus",11,0.59,0.758,55,0.966,"more stable inside"
"disturbance era (>=2013)","Macrocystis pyrifera",11,0.53,0.898,64,0.52,"more stable inside"
