"metric","baseline","n_mpa","ratio_in_over_out","ratio_CI_low","ratio_CI_high","p_wilcoxon","p_ttest","p_sign","loo_p_max","loo_ratio_min"
"resistance","2008-2013",10,3.89,1.08,14.07,0.00977,0.0404,0.109,0.0195,2.68
"recovery","2008-2013",10,5.4,1.2,24.31,0.0137,0.0319,0.0215,0.0273,3.06
"recovery_recent","2008-2013",10,5.15,1.46,18.17,0.0195,0.0165,0.109,0.0391,3.71
"resistance","2009-2013",10,4.25,1.18,15.23,0.00977,0.0306,0.109,0.0195,2.96
"recovery","2009-2013",10,5.54,1.2,25.65,0.0195,0.0323,0.109,0.0391,3.13
"recovery_recent","2009-2013",10,5.28,1.47,18.97,0.0195,0.0164,0.109,0.0391,3.82
"resistance","2010-2013*",10,4.17,1.33,13.04,0.00977,0.0198,0.0215,0.0195,2.89
"recovery","2010-2013*",10,5.16,1.33,20.05,0.0137,0.023,0.0215,0.0273,3.27
"recovery_recent","2010-2013*",10,4.92,1.51,15.99,0.0137,0.0136,0.109,0.0273,3.53
"resistance","2011-2013",9,2.85,1.28,6.38,0.0195,0.0169,0.18,0.0391,2.27
"recovery","2011-2013",9,4.59,1.13,18.62,0.0273,0.0364,0.0391,0.0547,2.91
"recovery_recent","2011-2013",9,3.59,1.37,9.39,0.0391,0.0156,0.18,0.0781,2.93
"resistance","2012-2013",9,2.48,1.29,4.79,0.00781,0.0126,0.0391,0.0156,1.99
"recovery","2012-2013",9,4.34,1.52,12.42,0.0117,0.0122,0.0391,0.0234,3.16
"recovery_recent","2012-2013",9,3.39,1.29,8.89,0.0117,0.0192,0.0391,0.0234,2.59
"resistance","2013",8,7.37,1.39,39.07,0.0234,0.0254,0.0703,0.0469,4.68
"recovery","2013",7,10.33,1.08,98.71,0.0469,0.0446,0.125,0.0938,5.92
"recovery_recent","2013",7,7.52,1.07,52.93,0.0313,0.0447,0.125,0.0625,4.59
