"target","predictor","k","slope","ci_lo","ci_hi","p","FDR"
"kelp_eff","mhw_during",15,-0.0399,-1.01,0.926,0.93,0.93
"kelp_eff","cs_mean",17,0.477,-0.266,1.22,0.191,0.741
"kelp_eff","lat",17,0.537,-0.255,1.33,0.169,0.741
"kelp_eff","log_size",12,-0.25,-1.38,0.876,0.631,0.861
"kelp_eff","lob_eff",11,0.385,-0.446,1.22,0.322,0.741
"kelp_eff","sheep_eff",13,-0.421,-1.45,0.612,0.389,0.741
"kelp_eff","purp_eff",11,0.267,-0.619,1.15,0.513,0.769
"kelp_eff","red_eff",10,-0.106,-1.09,0.877,0.81,0.868
"purp_eff","mhw_during",11,-0.311,-1.33,0.71,0.508,0.769
"purp_eff","cs_mean",11,-0.535,-1.49,0.42,0.237,0.741
"purp_eff","lat",11,-0.127,-1.17,0.914,0.788,0.868
"purp_eff","log_size",10,0.472,-0.592,1.54,0.336,0.741
"purp_eff","lob_eff",11,0.412,-0.631,1.45,0.395,0.741
"purp_eff","sheep_eff",11,-0.16,-1.23,0.907,0.742,0.868
"purp_eff","red_eff",10,0.645,0.151,1.14,0.0168,0.252
