"quantity","reproduced","published_Eisaguirre"
"N sites (their 7)","14 reefs (29 survey sites)","7"
"N benthic transects (pre/post)","1585 / 2135","(not reported)"
"Sheephead size quartiles, adults >=15 cm (cm)","19 / 26 / 39","24.56 / 31.50 / 38.15"
"Mean sheephead TL, MPA vs reference (cm)","32.28 / 29.44","MPA larger (ref 30.34)"
"Pre top model (AICc)","+seastar*prot+sheephead","temp+depth+seastar (wt 0.51)"
"Post top model (AICc)","+sheephead(dens*len)+protection","temp+depth+sheephead(dens*len)+protection (wt 0.99)"
"Protection: urchins higher OUTSIDE MPA (post)","YES (MPA -1.35 log-units vs reference, p<0.001)","YES (urchin barrens outside MPA)"
"Mean urchin density, reference vs MPA (per 60 m2)","582.4 / 327","higher outside"
"Sea-star ~ urchin, bivariate (pre)","-0.215 (negative, MATCHES)","negative"
"Sheephead ~ urchin, bivariate (post)","-0.234 (negative, MATCHES)","negative"
"Macroalgae ~ purple urchin slope (scaled)","-0.398 (negative, MATCHES)","negative (wt 1.00)"
"Sea-star partial effect in mixed model (pre)","0.262 (POSITIVE - did not reproduce; reef-RE/collinearity)","negative (top predictor)"
"Sheephead size-structured PARTIAL suppression (post)","did NOT reproduce: partial sheephead coef +0.376 (sheephead-protection collinearity, cf. their lobster note)","large suppress at lower density (their key result)"
