"taxon","role","response","moderator","k","slope_perSD","se","ci_lo","ci_hi","p","FDR"
"P. interruptus","Predator","Den","MHW intensity (during)",11,-0.000583,0.416,-0.941,0.94,0.999,0.999
"P. interruptus","Predator","Den","Cold-spell intensity",11,-0.198,0.407,-1.12,0.722,0.637,0.869
"P. interruptus","Predator","Den","Latitude",11,0.154,0.411,-0.777,1.08,0.717,0.896
"P. interruptus","Predator","Den","log MPA size",10,0.354,0.421,-0.617,1.33,0.425,0.869
"P. interruptus","Predator","Den","Wave exposure (mainland MPAs)",5,0.182,0.284,-0.723,1.09,0.568,0.869
"S. pulcher","Predator","Den","MHW intensity (during)",15,-0.0484,0.243,-0.574,0.477,0.845,0.919
"S. pulcher","Predator","Den","Cold-spell intensity",15,0.299,0.213,-0.161,0.759,0.184,0.797
"S. pulcher","Predator","Den","Latitude",15,0.159,0.234,-0.346,0.665,0.508,0.869
"S. pulcher","Predator","Den","log MPA size",14,0.111,0.247,-0.426,0.649,0.66,0.869
"S. pulcher","Predator","Den","Wave exposure (mainland MPAs)",5,-0.281,0.451,-1.72,1.15,0.578,0.869
"S. purpuratus","Herbivore","Den","MHW intensity (during)",11,-0.311,0.451,-1.33,0.71,0.508,0.869
"S. purpuratus","Herbivore","Den","Cold-spell intensity",11,-0.535,0.422,-1.49,0.42,0.237,0.817
"S. purpuratus","Herbivore","Den","Latitude",11,-0.127,0.46,-1.17,0.914,0.788,0.919
"S. purpuratus","Herbivore","Den","log MPA size",10,0.472,0.461,-0.592,1.54,0.336,0.869
"S. purpuratus","Herbivore","Den","Wave exposure (mainland MPAs)",5,-0.171,0.689,-2.36,2.02,0.82,0.919
"M. franciscanus","Herbivore","Den","MHW intensity (during)",10,-1.84,0.427,-2.82,-0.854,0.0026,0.0651
"M. franciscanus","Herbivore","Den","Cold-spell intensity",10,0.626,0.716,-1.03,2.28,0.408,0.869
"M. franciscanus","Herbivore","Den","Latitude",10,1.62,0.549,0.355,2.89,0.0184,0.23
"M. franciscanus","Herbivore","Den","log MPA size",9,1.34,0.659,-0.213,2.9,0.0806,0.672
"M. franciscanus","Herbivore","Den","Wave exposure (mainland MPAs)",5,-1.83,1.33,-6.06,2.39,0.261,0.817
"M. pyrifera","Producer","Bio","MHW intensity (during)",15,-0.0399,0.447,-1.01,0.926,0.93,0.969
"M. pyrifera","Producer","Bio","Cold-spell intensity",17,0.477,0.349,-0.266,1.22,0.191,0.797
"M. pyrifera","Producer","Bio","Latitude",17,0.537,0.371,-0.255,1.33,0.169,0.797
"M. pyrifera","Producer","Bio","log MPA size",12,-0.25,0.506,-1.38,0.876,0.631,0.869
"M. pyrifera","Producer","Bio","Wave exposure (mainland MPAs)",8,0.508,0.518,-0.76,1.78,0.365,0.869
