"Removed_MPA","Removed_Source","Removed_ES","Estimate","SE","pval","Significant"
"Abalone Cove SMCA","PISCO",0.093,1.0087,0.2371,0,"YES"
"Abalone Cove SMCA","Landsat",3.039,0.9059,0.2264,1e-04,"YES"
"Anacapa Island SMR 2003","KFM",0.362,0.9877,0.2353,0,"YES"
"Anacapa Island SMR 2003","PISCO",1.536,0.9518,0.2384,1e-04,"YES"
"Cabrillo SMR","Landsat",-0.121,0.9861,0.2326,0,"YES"
"Campus Point SMCA","LTER",1.779,0.9436,0.2365,1e-04,"YES"
"Campus Point SMCA","Landsat",0.431,0.9956,0.2386,0,"YES"
"Campus Point SMCA","PISCO",1.617,0.952,0.237,1e-04,"YES"
"Farnsworth Onshore SMCA","Landsat",-1.907,1.038,0.2238,0,"YES"
"Gull Island SMR","Landsat",0.881,0.9796,0.2407,0,"YES"
"Gull Island SMR","KFM",2.848,0.9148,0.2287,1e-04,"YES"
"Gull Island SMR","PISCO",1.676,0.9475,0.2372,1e-04,"YES"
"Harris Point SMR","Landsat",0.747,0.9836,0.2392,0,"YES"
"Harris Point SMR","PISCO",-0.566,1.0347,0.2301,0,"YES"
"Matlahuayl SMR","PISCO",1.962,0.9374,0.2352,1e-04,"YES"
"Naples SMCA","LTER",3.713,0.907,0.225,1e-04,"YES"
"Naples SMCA","PISCO",-0.715,1.0439,0.2265,0,"YES"
"Naples SMCA","Landsat",-0.092,1.0066,0.2353,0,"YES"
"Point Dume SMCA","Landsat",0.239,1.0024,0.2378,0,"YES"
"Point Dume SMR","Landsat",1.093,0.9713,0.2359,0,"YES"
"Point Vicente SMCA","PISCO",-0.529,1.0338,0.2305,0,"YES"
"Point Vicente SMCA","Landsat",1.83,0.9471,0.2355,1e-04,"YES"
"Santa Barbara Island SMR","KFM",2.427,0.9175,0.2309,1e-04,"YES"
"Santa Barbara Island SMR","Landsat",2.039,0.9317,0.2346,1e-04,"YES"
"Scorpion SMR","PISCO",2.568,0.9139,0.2297,1e-04,"YES"
"Scorpion SMR","KFM",4.707,0.9319,0.2282,0,"YES"
"Skunk Pt SMR","Landsat",0.777,0.9819,0.2386,0,"YES"
"South Point SMR","PISCO",0.598,0.9915,0.2401,0,"YES"
"South Point SMR","KFM",1.771,0.9497,0.2357,1e-04,"YES"
"South Point SMR","Landsat",0.018,1.0152,0.2368,0,"YES"
"Swamis SMCA","Landsat",-1.823,1.0307,0.2263,0,"YES"
