"Model","Term","estimate","se","tval","df","pval","ci.lb","ci.ub"
"Type (SMR vs SMCA)","intrcpt",0.0873044379524441,0.186307410304694,0.468604216062385,136,0.640102792539444,-0.281129789048388,0.455738664953276
"Type (SMR vs SMCA)","Taxa_abbrevM. pyrifera",0.219835656251438,0.0949842444688488,2.31444338459244,136,0.0221415228301741,0.0319985399987586,0.407672772504117
"Type (SMR vs SMCA)","Taxa_abbrevP. interruptus",1.06890466742661,0.0832694776797456,12.8366923536812,136,3.32762840729546e-25,0.904234214482601,1.23357512037063
"Type (SMR vs SMCA)","Taxa_abbrevS. pulcher",0.212044966885017,0.04865498489477,4.35813447159882,136,2.56679802023027e-05,0.115826777173053,0.308263156596982
"Type (SMR vs SMCA)","Taxa_abbrevS. purpuratus",-1.06402113935935,0.0730389093547143,-14.5678673019598,136,1.49372336555911e-29,-1.20846002166188,-0.919582257056825
"Type (SMR vs SMCA)","typeSMR",0.113271384456011,0.24229278293485,0.467497971189957,136,0.640891854146764,-0.365877319519255,0.592420088431276
"Location (ML vs CI)","intrcpt",0.233945425015485,0.155903185318528,1.50058143159492,136,0.135781882080653,-0.0743625992110328,0.542253449242004
"Location (ML vs CI)","Taxa_abbrevM. pyrifera",0.222910601754307,0.0950394007549328,2.34545462180576,136,0.0204497777866208,0.0349644105936867,0.410856792914927
"Location (ML vs CI)","Taxa_abbrevP. interruptus",1.06990787565755,0.0832850808864164,12.8463329118535,136,3.14550858895828e-25,0.905206566424035,1.23460918489106
"Location (ML vs CI)","Taxa_abbrevS. pulcher",0.21086906361851,0.0486710954507861,4.33253169392357,136,2.8434678678279e-05,0.11461901430288,0.30711911293414
"Location (ML vs CI)","Taxa_abbrevS. purpuratus",-1.06321248580298,0.0730443493205905,-14.5557116422047,136,1.60120587966106e-29,-1.20766212596865,-0.918762845637316
"Location (ML vs CI)","LocationML",-0.207026174262738,0.238593053479643,-0.867695732308491,136,0.387089389041671,-0.678858438383506,0.264806089858031
