"Moderator","Subgroup","Taxa_abbrev","Resp","n_obs","n_MPAs","mean_lnRR","sd_lnRR","se_lnRR","ci_lo_lnRR","ci_hi_lnRR","mean_RR"
"Protection level","SMCA","M. franciscanus","Bio",5,4,0.494209116392249,1.16169582449993,0.0924460749961232,0.237537663974515,0.750880568809983,1.63920130881926
"Protection level","SMCA","M. franciscanus","Den",5,4,0.259692457568857,1.5270385498233,0.0896996355488094,0.0106463435113394,0.508738571626375,1.29653128696096
"Protection level","SMR","M. franciscanus","Bio",9,5,0.551249563522029,1.27540245987686,0.0618349994926941,0.408657798991529,0.693841328052529,1.73542018133519
"Protection level","SMR","M. franciscanus","Den",11,6,0.132369773390713,2.03781306875405,0.0560613506733684,0.00745729986055425,0.257282246920872,1.14153034878246
"Protection level","SMCA","M. pyrifera","Bio",13,7,-0.0018835085582444,1.72301285630483,0.129488216441307,-0.284014095831292,0.280247078714803,0.998118264130867
"Protection level","SMR","M. pyrifera","Bio",18,10,0.835497317114608,2.35519797299014,0.113706462553338,0.595597651119255,1.07539698310996,2.30596055682474
"Protection level","SMCA","P. interruptus","Bio",4,4,0.467658298948354,1.41948264985577,0.227310872054211,-0.255746345971387,1.1910629438681,1.59625186854539
"Protection level","SMCA","P. interruptus","Den",6,4,0.181391726355016,1.12326271232576,0.135697213256415,-0.167429065188392,0.530212517898425,1.19888472206332
"Protection level","SMR","P. interruptus","Bio",1,1,0.231679371084299,NA,0.647266408757467,NA,NA,1.26071544219356
"Protection level","SMR","P. interruptus","Den",11,7,1.81739969195191,1.13205978120072,0.0927666942627219,1.61070261629481,2.02409676760901,6.1558305644356
"Protection level","SMCA","S. pulcher","Bio",8,7,1.18499459179562,1.67016459678293,0.125210479387229,0.888918855683017,1.48107032790821,3.27066913297098
"Protection level","SMCA","S. pulcher","Den",8,7,0.435450470877071,1.3194934921528,0.0651786588830504,0.281327433395916,0.589573508358225,1.54565917659414
"Protection level","SMR","S. pulcher","Bio",8,8,0.59926744224449,0.732193540042165,0.0464281720518071,0.489482260653665,0.709052623835316,1.82078448192416
"Protection level","SMR","S. pulcher","Den",12,8,0.201953323579751,0.890773852495627,0.0382610326188297,0.117741358575925,0.286165288583578,1.22379088460058
"Protection level","SMCA","S. purpuratus","Bio",4,4,-0.633951242622614,0.733323477527835,0.130999068526172,-1.05084874424934,-0.217053740995892,0.5304915536083
"Protection level","SMCA","S. purpuratus","Den",4,4,-0.715961256428755,1.29792467876685,0.133472864906343,-1.14073148220558,-0.291191030651932,0.488722098671732
"Protection level","SMR","S. purpuratus","Bio",6,5,-1.11255615456554,0.499227097584487,0.148761128819033,-1.4949588101565,-0.730153498974581,0.328717633172399
"Protection level","SMR","S. purpuratus","Den",9,7,-0.8365281541832,1.3966632527806,0.111863455701854,-1.0944857456099,-0.578570562756497,0.433211960675069
"Location","Ch. Islands","M. franciscanus","Bio",9,5,0.551249563522029,1.27540245987686,0.0618349994926941,0.408657798991529,0.693841328052529,1.73542018133519
"Location","Ch. Islands","M. franciscanus","Den",10,5,0.150267830918237,1.05274035864284,0.0561390143538927,0.0232725574851473,0.277263104351327,1.16214545953523
"Location","Mainland","M. franciscanus","Bio",5,4,0.494209116392249,1.16169582449993,0.0924460749961232,0.237537663974515,0.750880568809983,1.63920130881926
"Location","Mainland","M. franciscanus","Den",6,5,0.213424871265169,2.84838644098245,0.0893838447647101,-0.0163436164863304,0.443193359016669,1.23791049212531
"Location","Ch. Islands","M. pyrifera","Bio",16,8,0.751587408728827,2.63467606861508,0.116117923584867,0.504087913272518,0.999086904185136,2.12036322960857
"Location","Mainland","M. pyrifera","Bio",15,9,0.139559333085087,1.49135439573949,0.12616914902553,-0.131046578170788,0.410165244340962,1.14976702291888
"Location","Ch. Islands","P. interruptus","Den",10,6,1.94239811341791,1.0054431741222,0.0957288544347813,1.7258443996718,2.15895182716402,6.97545887042399
"Location","Mainland","P. interruptus","Bio",5,5,0.441749962068007,1.22975346704526,0.214469838566298,-0.153713771431952,1.03721369556797,1.55542677611375
"Location","Mainland","P. interruptus","Den",7,5,0.147882736390418,1.04228660934205,0.127632239605496,-0.164422103288445,0.460187576069281,1.15937693566717
"Location","Ch. Islands","S. pulcher","Bio",9,9,0.603868853163302,0.727299341330962,0.0458074975293158,0.498236574437345,0.709501131889259,1.82918196483824
"Location","Ch. Islands","S. pulcher","Den",13,9,0.180871727333996,1.01262622846307,0.0362511596540778,0.101887235589376,0.259856219078616,1.19826146524204
"Location","Mainland","S. pulcher","Bio",7,6,1.28710237291094,1.78878938907895,0.139852430466459,0.944895803391136,1.62930894243075,3.62227533117919
"Location","Mainland","S. pulcher","Den",7,6,0.652652814036729,1.01589428949492,0.0796707335081527,0.457705552026217,0.84760007604724,1.92062914881207
"Location","Ch. Islands","S. purpuratus","Bio",6,5,-1.11255615456554,0.499227097584487,0.148761128819033,-1.4949588101565,-0.730153498974581,0.328717633172399
"Location","Ch. Islands","S. purpuratus","Den",8,6,-0.72423087695261,1.42636436724999,0.115867289064085,-0.998213478639858,-0.450248275265362,0.484697217431659
"Location","Mainland","S. purpuratus","Bio",4,4,-0.633951242622614,0.733323477527835,0.130999068526172,-1.05084874424934,-0.217053740995892,0.5304915536083
"Location","Mainland","S. purpuratus","Den",5,5,-0.862469199321907,1.17932327579768,0.1274532365171,-1.21633611399143,-0.508602284652388,0.422118499727967
