"Species","time","mean_lnRR","n"
"Panulirus interruptus",1,-0.332958375206538,8
"Semicossyphus pulcher",1,0.325045642360283,11
"Strongylocentrotus purpuratus",1,-0.749560674580188,8
"Mesocentrotus franciscanus",1,0.0394238665021283,8
"Macrocystis pyrifera",1,-0.945046553818528,8
"Panulirus interruptus",2,0.149451173724455,9
"Semicossyphus pulcher",2,0.880883974409999,10
"Strongylocentrotus purpuratus",2,-0.324504026205113,9
"Mesocentrotus franciscanus",2,0.586382078179539,9
"Macrocystis pyrifera",2,-1.38922196818568,9
"Panulirus interruptus",3,0.210522786845601,10
"Semicossyphus pulcher",3,0.860000835137767,10
"Strongylocentrotus purpuratus",3,-0.639836055469969,10
"Mesocentrotus franciscanus",3,0.37368535415524,10
"Macrocystis pyrifera",3,0.282228150869566,10
"Panulirus interruptus",4,-0.0105033695098595,10
"Semicossyphus pulcher",4,0.455071058707634,12
"Strongylocentrotus purpuratus",4,-0.244851973027789,10
"Mesocentrotus franciscanus",4,0.433067573867738,10
"Macrocystis pyrifera",4,0.315835489567017,10
"Panulirus interruptus",5,0.629087504390137,10
"Semicossyphus pulcher",5,0.284636635124839,10
"Strongylocentrotus purpuratus",5,0.174037825454663,10
"Mesocentrotus franciscanus",5,0.508641628441643,10
"Macrocystis pyrifera",5,0.372159220487799,10
"Panulirus interruptus",6,1.43718843788599,10
"Semicossyphus pulcher",6,0.744232811614942,10
"Strongylocentrotus purpuratus",6,-0.0162902639338053,10
"Mesocentrotus franciscanus",6,0.393568917635956,10
"Macrocystis pyrifera",6,0.161046796799518,10
"Panulirus interruptus",7,0.603839832485427,11
"Semicossyphus pulcher",7,0.742097460663172,17
"Strongylocentrotus purpuratus",7,-0.595544534014734,11
"Mesocentrotus franciscanus",7,-0.0135134345134854,11
"Macrocystis pyrifera",7,-0.552037717343996,11
"Panulirus interruptus",8,1.0899068592132,11
"Semicossyphus pulcher",8,0.771625044430785,16
"Strongylocentrotus purpuratus",8,-0.661673640228645,11
"Mesocentrotus franciscanus",8,-0.435713555474256,11
"Macrocystis pyrifera",8,-0.121983920632122,11
"Panulirus interruptus",9,1.10496268903855,11
"Semicossyphus pulcher",9,0.548956704477645,17
"Strongylocentrotus purpuratus",9,-0.31435189252103,11
"Mesocentrotus franciscanus",9,-0.130014574435605,11
"Macrocystis pyrifera",9,0.613177219247638,11
"Panulirus interruptus",10,0.993530972006255,11
"Semicossyphus pulcher",10,0.707321832791607,17
"Strongylocentrotus purpuratus",10,-0.909598313463592,11
"Mesocentrotus franciscanus",10,-0.821849256340948,11
"Macrocystis pyrifera",10,0.459830762175215,11
"Panulirus interruptus",11,0.673334913709839,11
"Semicossyphus pulcher",11,0.604247007470216,17
"Strongylocentrotus purpuratus",11,-1.242792517541,11
"Mesocentrotus franciscanus",11,-0.444733733772524,11
"Macrocystis pyrifera",11,1.37291210339314,11
"Panulirus interruptus",12,1.86817598382314,6
"Semicossyphus pulcher",12,0.0482148909794743,6
"Strongylocentrotus purpuratus",12,-1.12219426314974,6
"Mesocentrotus franciscanus",12,-0.156059091031649,6
"Macrocystis pyrifera",12,2.79492535700996,6
"Panulirus interruptus",13,1.4734862048368,6
"Semicossyphus pulcher",13,-0.139055208483927,6
"Strongylocentrotus purpuratus",13,-1.13043596450368,6
"Mesocentrotus franciscanus",13,-0.0685416377633125,6
"Macrocystis pyrifera",13,1.58408232236169,6
"Panulirus interruptus",14,1.54934883246156,6
"Semicossyphus pulcher",14,-0.068399461396014,6
"Strongylocentrotus purpuratus",14,-0.603598697701485,6
"Mesocentrotus franciscanus",14,0.196282367910876,6
"Macrocystis pyrifera",14,1.04990378886856,6
"Panulirus interruptus",15,2.08032135907892,6
"Semicossyphus pulcher",15,-0.0453952524137299,6
"Strongylocentrotus purpuratus",15,-1.3247872368692,6
"Mesocentrotus franciscanus",15,-0.573571057157716,6
"Macrocystis pyrifera",15,1.95050037591145,6
"Panulirus interruptus",16,1.14771136104162,6
"Semicossyphus pulcher",16,0.103642597088782,6
"Strongylocentrotus purpuratus",16,-1.05252067711514,6
"Mesocentrotus franciscanus",16,-0.224856112242766,6
"Macrocystis pyrifera",16,2.41130298399238,6
"Panulirus interruptus",17,2.52475177414806,4
"Semicossyphus pulcher",17,0.964052430785227,5
"Strongylocentrotus purpuratus",17,-1.52275924626085,4
"Mesocentrotus franciscanus",17,-0.524065677727824,4
"Macrocystis pyrifera",17,1.41140101937252,4
"Panulirus interruptus",18,1.88649019251374,6
"Semicossyphus pulcher",18,0.286843406640345,6
"Strongylocentrotus purpuratus",18,-1.71114257953341,6
"Mesocentrotus franciscanus",18,-0.727913634382155,6
"Macrocystis pyrifera",18,1.12338450041405,6
"Panulirus interruptus",19,1.24036761265848,6
"Semicossyphus pulcher",19,0.373417433389966,6
"Strongylocentrotus purpuratus",19,-2.15341979652325,6
"Mesocentrotus franciscanus",19,-0.782826982834973,6
"Macrocystis pyrifera",19,2.84410059331459,6
"Panulirus interruptus",20,1.65045439882158,6
"Semicossyphus pulcher",20,0.663741751690755,6
"Strongylocentrotus purpuratus",20,-1.48536927934287,6
"Mesocentrotus franciscanus",20,-0.633334716843346,6
"Macrocystis pyrifera",20,1.93585492812227,6
