"model","Species","Species_abbrev","slope","SE","t_value","df","p_value","CI_lower","CI_upper"
"pooled","Panulirus interruptus","P. interruptus",0.104404,0.018363,5.6856,NA,NA,0.068413,0.140394
"pooled","Semicossyphus pulcher","S. pulcher",-0.029416,0.012739,-2.3091,NA,NA,-0.054383,-0.004448
"pooled","Strongylocentrotus purpuratus","S. purpuratus",-0.081881,0.014371,-5.6977,NA,NA,-0.110047,-0.053714
"pooled","Mesocentrotus franciscanus","M. franciscanus",-0.063377,0.014371,-4.4101,NA,NA,-0.091543,-0.035211
"pooled","Macrocystis pyrifera","M. pyrifera",0.138767,0.013681,10.1428,NA,NA,0.111952,0.165582
"bio","Panulirus interruptus","P. interruptus",0.152446,0.080722,1.8885,NA,NA,-0.005767,0.31066
"bio","Semicossyphus pulcher","S. pulcher",-0.025461,0.024111,-1.056,NA,NA,-0.072718,0.021796
"bio","Strongylocentrotus purpuratus","S. purpuratus",-0.070194,0.023,-3.0519,NA,NA,-0.115272,-0.025115
"bio","Mesocentrotus franciscanus","M. franciscanus",-0.050035,0.022999,-2.1755,NA,NA,-0.095112,-0.004958
"bio","Macrocystis pyrifera","M. pyrifera",0.139192,0.020673,6.733,NA,NA,0.098674,0.179711
"den","Panulirus interruptus","P. interruptus",0.093243,0.019253,4.843,NA,NA,0.055507,0.130978
"den","Semicossyphus pulcher","S. pulcher",-0.02662,0.018221,-1.4609,NA,NA,-0.062332,0.009093
"den","Strongylocentrotus purpuratus","S. purpuratus",-0.092095,0.019253,-4.7834,NA,NA,-0.129831,-0.05436
"den","Mesocentrotus franciscanus","M. franciscanus",-0.073277,0.019253,-3.806,NA,NA,-0.111012,-0.035542
