"Term","Estimate","SE","t_value"
"(Intercept)",0.144341053340001,0.290156966910793,0.49745851315153
"SpeciesSemicossyphus pulcher",0.663683805913406,0.264360152693962,2.51052890970949
"SpeciesStrongylocentrotus purpuratus",-0.0086236041365037,0.274830475380664,-0.0313779035041847
"SpeciesMesocentrotus franciscanus",0.46433006722055,0.274882319139381,1.68919582996209
"SpeciesMacrocystis pyrifera",-0.864274753049522,0.270840724216979,-3.19108123620702
"time",0.105409763525546,0.0213475405012317,4.9377942868624
"SpeciesSemicossyphus pulcher:time",-0.134408535051176,0.0256892182450553,-5.23209907631376
"SpeciesStrongylocentrotus purpuratus:time",-0.185285908937065,0.0269639036456201,-6.87162776474176
"SpeciesMesocentrotus franciscanus:time",-0.168807141178832,0.0269642662472827,-6.26040180848025
"SpeciesMacrocystis pyrifera:time",0.0538692418994189,0.0262862687508935,2.04933010500351
